Sales_Person,Geo,Product_ID,Date,Amount,Customers,Boxes
SP11,G1,P17,01/15/21,7546,49,329
SP12,G2,P13,01/15/21,6713,422,373
SP14,G4,P17,01/15/21,6895,318,300
SP02,G4,P05,01/15/21,3430,120,202
SP21,G4,P14,01/18/21,4165,61,348
SP25,G1,P03,01/18/21,2380,209,159
SP03,G6,P14,01/18/21,6594,114,413
SP04,G5,P04,01/18/21,1428,55,76
SP19,G5,P07,01/18/21,2646,150,116
SP10,G1,P01,01/18/21,238,364,11
SP24,G5,P04,01/18/21,945,298,50
SP11,G6,P10,01/18/21,9436,102,337
SP17,G2,P10,01/18/21,4081,116,152
SP04,G2,P08,01/18/21,10556,25,587
SP01,G2,P14,01/18/21,2331,38,167
SP11,G3,P16,01/19/21,896,346,32
SP20,G1,P18,01/19/21,4214,314,169
SP20,G3,P09,01/19/21,2121,90,177
SP23,G1,P13,01/19/21,1029,386,47
SP08,G1,P05,01/19/21,15407,103,771
SP03,G4,P17,01/19/21,10129,134,406
SP13,G2,P20,01/19/21,16380,203,1092
SP24,G1,P14,01/19/21,3899,102,279
SP05,G3,P10,01/19/21,12075,264,432
SP11,G2,P18,01/19/21,10696,115,428
SP19,G2,P03,01/19/21,4039,436,238
SP18,G1,P22,01/19/21,5250,410,202
SP21,G1,P08,01/19/21,8113,25,508
SP08,G6,P06,01/19/21,161,95,10
SP07,G6,P10,01/19/21,8218,205,294
SP06,G5,P15,01/19/21,742,80,53
SP03,G2,P11,01/19/21,3087,193,111
SP08,G1,P18,01/19/21,5110,131,155
SP04,G4,P04,01/19/21,5873,164,267
SP11,G6,P05,01/19/21,4641,301,357
SP04,G4,P22,01/20/21,1155,34,45
SP10,G6,P02,01/20/21,784,247,49
SP25,G4,P05,01/20/21,5369,16,384
SP10,G3,P06,01/20/21,343,338,18
SP10,G6,P19,01/20/21,7007,38,584
SP15,G1,P15,01/20/21,126,127,13
SP16,G1,P08,01/20/21,3073,57,134
SP19,G4,P21,01/21/21,7805,86,488
SP09,G6,P11,01/21/21,3087,14,124
SP13,G4,P21,01/21/21,9030,85,452
SP04,G2,P20,01/21/21,7805,6,411
SP18,G1,P11,01/21/21,6979,38,233
SP19,G1,P07,01/21/21,11284,39,513
SP17,G5,P01,01/21/21,2408,106,90
SP03,G6,P02,01/21/21,5299,86,332
SP10,G6,P16,01/21/21,6293,158,234
SP08,G5,P03,01/21/21,280,408,17
SP05,G1,P13,01/21/21,644,483,30
SP07,G5,P21,01/21/21,2191,65,110
SP16,G4,P21,01/21/21,427,267,26
SP14,G3,P20,01/21/21,5537,346,426
SP18,G5,P08,01/21/21,742,264,31
SP23,G3,P13,01/21/21,4200,457,248
SP08,G6,P15,01/21/21,5299,203,442
SP08,G2,P17,01/21/21,3829,286,160
SP20,G4,P18,01/21/21,5747,70,192
SP06,G4,P13,01/21/21,2345,199,147
SP12,G4,P09,01/22/21,4312,181,616
SP25,G4,P13,01/22/21,1358,68,68
SP01,G2,P09,01/22/21,13146,85,1644
SP05,G5,P14,01/22/21,12047,295,927
SP08,G3,P20,01/22/21,5971,44,460
SP16,G4,P02,01/22/21,3038,280,254
SP20,G6,P16,01/22/21,8022,167,268
SP16,G3,P15,01/22/21,2226,1,248
SP10,G3,P17,01/22/21,2366,470,79
SP24,G5,P02,01/22/21,8386,194,599
SP03,G3,P16,01/22/21,13230,261,576
SP17,G6,P03,01/22/21,1771,151,111
SP13,G6,P04,01/22/21,3416,458,228
SP17,G6,P13,01/22/21,15197,11,634
SP08,G4,P15,01/22/21,5971,59,498
SP02,G6,P09,01/22/21,13335,227,1667
SP23,G3,P21,01/22/21,4613,54,210
SP12,G1,P12,01/22/21,10430,110,580
SP20,G2,P03,01/22/21,168,94,10
SP25,G6,P08,01/22/21,4606,256,192
SP11,G6,P14,01/22/21,1491,193,136
SP02,G1,P08,01/25/21,12194,302,509
SP12,G6,P04,01/25/21,10122,206,533
SP09,G5,P08,01/25/21,1841,164,88
SP16,G6,P09,01/25/21,6958,337,580
SP07,G1,P08,01/25/21,749,323,35
SP16,G6,P04,01/25/21,3507,48,195
SP17,G4,P15,01/25/21,7294,122,562
SP10,G1,P12,01/25/21,5040,219,420
SP10,G1,P16,01/25/21,3913,257,157
SP09,G2,P02,01/25/21,3598,101,300
SP19,G2,P10,01/25/21,8911,302,319
SP08,G4,P22,01/25/21,42,35,2
SP13,G1,P21,01/25/21,2282,222,109
SP23,G3,P08,01/25/21,12964,242,541
SP09,G3,P20,01/25/21,5775,219,361
SP16,G4,P10,01/25/21,10787,100,400
SP20,G5,P21,01/25/21,6342,115,374
SP14,G1,P22,01/25/21,11564,46,463
SP03,G2,P04,01/25/21,2793,37,156
SP18,G3,P19,01/25/21,1603,81,134
SP06,G5,P03,01/25/21,3052,357,180
SP12,G3,P21,01/25/21,1659,82,83
SP01,G4,P05,01/25/21,3143,82,210
SP02,G2,P21,01/25/21,12782,212,609
SP21,G4,P19,01/25/21,343,313,32
SP10,G4,P14,01/25/21,1785,216,138
SP10,G3,P09,01/25/21,4914,46,615
SP18,G6,P14,01/26/21,1869,242,208
SP04,G1,P10,01/26/21,8512,173,387
SP23,G6,P09,01/26/21,9296,1,716
SP20,G5,P07,01/26/21,6034,229,263
SP22,G1,P11,01/26/21,9471,166,365
SP15,G1,P22,01/26/21,3815,146,166
SP01,G4,P06,01/26/21,9485,140,527
SP16,G2,P16,01/26/21,3549,78,132
SP04,G6,P09,01/26/21,1512,61,117
SP13,G3,P16,01/26/21,2296,113,96
SP11,G1,P01,01/27/21,17402,43,697
SP15,G6,P12,01/27/21,11816,160,844
SP17,G4,P16,01/27/21,10612,232,425
SP01,G2,P01,01/27/21,5558,263,192
SP21,G6,P04,01/27/21,14056,148,781
SP09,G2,P16,01/27/21,5131,171,166
SP16,G2,P08,01/27/21,1477,352,87
SP06,G5,P04,01/27/21,7686,72,549
SP23,G6,P13,01/27/21,8722,35,460
SP08,G6,P16,01/27/21,6370,35,206
SP03,G6,P13,01/27/21,4074,208,240
SP24,G4,P11,01/27/21,1309,97,51
SP07,G5,P20,01/27/21,4991,137,357
SP04,G3,P22,01/27/21,6965,91,367
SP15,G5,P18,01/27/21,10199,497,408
SP12,G4,P21,01/27/21,7392,9,390
SP01,G4,P12,01/27/21,5880,71,392
SP04,G2,P11,01/27/21,5950,25,238
SP14,G2,P16,01/27/21,10395,57,336
SP22,G1,P07,01/27/21,6174,33,247
SP04,G4,P19,01/27/21,15239,170,1524
SP21,G3,P09,01/27/21,2219,145,247
SP17,G4,P19,01/27/21,3150,70,243
SP17,G6,P15,01/27/21,2968,216,212
SP02,G3,P05,01/27/21,3241,199,163
SP15,G3,P07,01/27/21,3605,120,151
SP20,G3,P08,01/28/21,3640,169,174
SP11,G3,P08,01/28/21,1309,294,77
SP13,G1,P06,01/28/21,10346,131,739
SP15,G3,P04,01/28/21,1071,359,54
SP11,G6,P19,01/28/21,6328,119,791
SP07,G3,P11,01/28/21,1820,143,68
SP09,G1,P21,01/28/21,3437,179,157
SP17,G6,P14,01/28/21,4550,214,455
SP01,G3,P07,01/28/21,2968,259,110
SP14,G2,P06,01/28/21,12565,4,898
SP17,G3,P01,01/28/21,8246,294,318
SP09,G1,P05,01/28/21,1190,137,70
SP24,G4,P06,01/28/21,3283,146,183
SP08,G5,P18,01/28/21,3087,300,115
SP20,G1,P21,01/28/21,6531,244,297
SP16,G2,P14,01/28/21,4228,55,249
SP24,G2,P17,01/28/21,10094,118,389
SP21,G4,P01,01/28/21,182,46,6
SP22,G4,P14,01/28/21,616,151,37
SP24,G2,P20,01/29/21,12131,121,809
SP07,G2,P07,01/29/21,2394,323,93
SP12,G1,P14,01/29/21,14287,89,841
SP11,G4,P03,01/29/21,10941,185,730
SP24,G6,P07,01/29/21,7777,345,260
SP06,G3,P09,01/29/21,9436,7,858
SP07,G3,P12,01/29/21,1267,104,116
SP07,G2,P11,01/29/21,8806,32,327
SP06,G6,P21,01/29/21,3640,403,243
SP07,G6,P17,01/29/21,4900,239,182
SP18,G5,P14,01/29/21,5558,219,348
SP25,G4,P03,01/29/21,9142,1,436
SP02,G6,P05,01/29/21,3514,143,235
SP19,G3,P02,01/29/21,140,91,10
SP15,G6,P10,02/01/21,11844,211,439
SP03,G4,P01,02/01/21,6517,54,233
SP07,G1,P01,02/01/21,8715,24,282
SP05,G1,P16,02/01/21,4851,455,180
SP01,G2,P16,02/01/21,10983,185,379
SP21,G5,P15,02/01/21,3290,75,329
SP11,G5,P16,02/01/21,6545,86,212
SP03,G3,P19,02/01/21,441,7,45
SP14,G1,P21,02/01/21,9849,75,580
SP09,G4,P14,02/01/21,3073,9,308
SP17,G2,P16,02/01/21,4452,75,149
SP12,G3,P13,02/01/21,10220,105,538
SP09,G6,P19,02/01/21,3150,11,210
SP07,G2,P20,02/01/21,6083,43,381
SP08,G6,P12,02/01/21,14063,140,1407
SP07,G6,P19,02/01/21,4578,256,306
SP19,G1,P14,02/01/21,6454,21,461
SP15,G2,P18,02/02/21,6650,166,256
SP01,G1,P22,02/02/21,2436,203,94
SP21,G4,P21,02/02/21,6944,33,331
SP05,G1,P11,02/02/21,19817,126,684
SP01,G1,P02,02/02/21,3521,50,235
SP12,G2,P11,02/02/21,10458,546,327
SP24,G4,P08,02/02/21,1302,401,57
SP10,G5,P11,02/02/21,7952,221,249
SP13,G5,P06,02/02/21,4753,133,265
SP11,G1,P13,02/02/21,11452,81,546
SP03,G1,P10,02/02/21,9345,124,390
SP16,G1,P05,02/02/21,7490,172,357
SP25,G1,P16,02/02/21,1519,127,57
SP09,G6,P20,02/02/21,3087,135,155
SP06,G6,P20,02/02/21,2352,178,168
SP17,G3,P15,02/02/21,11578,76,891
SP11,G2,P22,02/02/21,462,223,22
SP24,G1,P17,02/03/21,6916,32,315
SP11,G1,P09,02/03/21,3248,101,542
SP25,G3,P01,02/03/21,6475,431,240
SP23,G6,P22,02/03/21,9009,129,501
SP17,G3,P14,02/03/21,2835,20,189
SP14,G1,P01,02/03/21,7644,77,294
SP19,G6,P19,02/03/21,3360,48,240
SP19,G2,P05,02/03/21,1379,246,99
SP22,G2,P16,02/03/21,9534,229,382
SP17,G2,P22,02/03/21,14448,28,657
SP24,G2,P15,02/03/21,3829,432,240
SP03,G4,P09,02/04/21,9086,206,758
SP15,G3,P01,02/04/21,5803,299,194
SP25,G6,P18,02/04/21,182,36,7
SP18,G6,P13,02/04/21,9863,21,520
SP06,G4,P09,02/04/21,4046,80,289
SP09,G6,P12,02/04/21,3493,140,350
SP13,G3,P03,02/04/21,392,89,18
SP05,G1,P10,02/04/21,2534,19,111
SP22,G6,P13,02/04/21,7084,6,308
SP05,G6,P09,02/04/21,4809,70,344
SP16,G3,P07,02/04/21,7959,273,266
SP15,G3,P08,02/04/21,10521,231,527
SP15,G3,P12,02/04/21,56,168,5
SP19,G6,P15,02/04/21,3017,103,189
SP12,G1,P09,02/04/21,18949,300,2707
SP24,G6,P01,02/04/21,8764,69,338
SP14,G1,P04,02/04/21,12201,103,643
SP20,G2,P10,02/04/21,11935,189,460
SP01,G2,P20,02/04/21,3724,322,266
SP23,G3,P06,02/04/21,2646,70,166
SP03,G1,P14,02/04/21,686,18,46
SP12,G5,P20,02/04/21,2037,272,128
SP23,G1,P21,02/04/21,6300,208,300
SP11,G3,P22,02/04/21,2541,14,111
SP04,G1,P04,02/04/21,1883,97,118
SP08,G1,P10,02/04/21,10255,180,446
SP22,G6,P11,02/05/21,5803,98,233
SP09,G1,P02,02/05/21,8260,239,1033
SP24,G1,P15,02/05/21,14868,5,1859
SP03,G2,P06,02/05/21,4137,10,276
SP10,G6,P11,02/05/21,7161,480,276
SP24,G2,P07,02/05/21,9625,149,332
SP19,G3,P16,02/05/21,12852,296,429
SP18,G3,P06,02/05/21,7546,365,581
SP19,G2,P06,02/05/21,4123,104,275
SP21,G1,P16,02/05/21,13174,78,573
SP17,G2,P02,02/05/21,7637,161,546
SP18,G2,P15,02/05/21,3311,128,332
SP21,G1,P04,02/05/21,2338,52,107
SP06,G1,P17,02/08/21,3465,228,139
SP17,G5,P22,02/08/21,2345,435,107
SP18,G3,P16,02/08/21,12698,53,471
SP01,G4,P13,02/08/21,6678,24,334
SP12,G3,P15,02/08/21,4851,120,324
SP08,G4,P07,02/08/21,336,164,12
SP12,G3,P09,02/08/21,2366,8,198
SP08,G2,P08,02/08/21,10598,226,461
SP01,G1,P20,02/08/21,13293,199,665
SP23,G5,P02,02/08/21,2086,90,261
SP04,G5,P22,02/08/21,2751,133,120
SP02,G3,P10,02/08/21,5481,283,275
SP09,G2,P20,02/08/21,5628,11,433
SP22,G2,P17,02/08/21,2660,113,89
SP20,G1,P03,02/09/21,1386,157,82
SP17,G6,P01,02/09/21,11060,175,382
SP16,G5,P21,02/09/21,2919,147,172
SP25,G3,P08,02/09/21,8680,334,457
SP09,G2,P10,02/09/21,1484,362,71
SP17,G3,P21,02/09/21,16919,199,996
SP21,G5,P11,02/09/21,13188,215,440
SP11,G5,P04,02/09/21,4998,182,294
SP14,G6,P13,02/09/21,6146,64,342
SP19,G1,P01,02/09/21,5621,162,217
SP18,G6,P05,02/09/21,980,75,47
SP13,G2,P03,02/10/21,7343,116,350
SP01,G3,P17,02/10/21,1750,9,63
SP05,G1,P06,02/10/21,2464,90,165
SP09,G2,P01,02/10/21,1974,47,86
SP22,G5,P19,02/10/21,11823,52,986
SP15,G4,P13,02/10/21,7350,250,335
SP15,G3,P15,02/10/21,4165,170,417
SP03,G1,P13,02/10/21,630,41,28
SP09,G3,P15,02/10/21,2282,238,143
SP17,G3,P12,02/10/21,5250,37,292
SP06,G3,P03,02/10/21,11676,253,730
SP17,G5,P17,02/10/21,14917,289,533
SP22,G3,P18,02/11/21,4634,100,155
SP05,G2,P18,02/11/21,819,196,27
SP10,G1,P07,02/11/21,2422,60,106
SP13,G3,P18,02/11/21,1463,158,59
SP15,G3,P18,02/11/21,1050,10,32
SP20,G6,P22,02/11/21,1526,527,85
SP03,G4,P02,02/11/21,427,163,27
SP06,G2,P10,02/11/21,10976,132,440
SP04,G4,P05,02/12/21,6503,299,407
SP13,G6,P08,02/12/21,21,300,1
SP05,G6,P06,02/12/21,7063,13,393
SP24,G3,P22,02/12/21,3990,50,200
SP14,G4,P19,02/12/21,1806,184,129
SP16,G1,P14,02/12/21,10136,115,597
SP12,G6,P03,02/12/21,1288,119,62
SP20,G3,P14,02/12/21,1295,107,87
SP09,G2,P19,02/12/21,6461,288,718
SP22,G4,P18,02/12/21,4949,31,155
SP18,G4,P12,02/12/21,5432,39,302
SP15,G3,P17,02/12/21,7112,55,246
SP12,G6,P22,02/12/21,266,112,11
SP05,G2,P02,02/12/21,6202,44,414
SP22,G4,P11,02/15/21,1057,288,43
SP15,G6,P07,02/15/21,1925,460,67
SP04,G1,P13,02/15/21,1841,185,77
SP07,G3,P10,02/15/21,1204,5,61
SP04,G4,P13,02/15/21,4074,146,186
SP16,G2,P18,02/15/21,4473,39,150
SP16,G6,P15,02/15/21,2947,210,246
SP23,G2,P16,02/15/21,15386,59,642
SP04,G6,P01,02/15/21,4690,229,188
SP24,G2,P14,02/15/21,343,158,39
SP14,G3,P05,02/15/21,3052,393,146
SP19,G5,P18,02/15/21,686,187,25
SP04,G3,P14,02/15/21,6993,133,538
SP21,G6,P01,02/16/21,5236,170,169
SP06,G1,P10,02/16/21,8638,212,333
SP07,G4,P18,02/16/21,5712,288,191
SP03,G2,P05,02/16/21,6258,334,330
SP04,G2,P19,02/16/21,3234,90,294
SP15,G1,P16,02/16/21,17577,32,677
SP11,G2,P06,02/16/21,12684,217,668
SP05,G1,P08,02/16/21,1239,29,54
SP15,G6,P02,02/16/21,3402,55,243
SP12,G1,P21,02/16/21,11382,432,633
SP18,G1,P01,02/16/21,7133,212,265
SP22,G1,P01,02/17/21,8309,171,333
SP23,G4,P12,02/17/21,1435,3,131
SP02,G3,P06,02/17/21,3227,126,216
SP25,G4,P07,02/17/21,133,195,6
SP05,G5,P08,02/17/21,5446,425,273
SP12,G1,P08,02/17/21,4424,91,261
SP22,G6,P01,02/17/21,1827,168,80
SP04,G4,P18,02/17/21,8232,264,305
SP07,G5,P02,02/17/21,861,262,62
SP01,G4,P19,02/17/21,8099,178,675
SP17,G5,P20,02/17/21,5894,592,281
SP25,G2,P11,02/17/21,8211,601,257
SP07,G1,P11,02/17/21,10360,206,415
SP14,G6,P01,02/17/21,5145,98,166
SP08,G6,P02,02/17/21,9163,235,1146
SP17,G1,P14,02/17/21,15323,33,1393
SP16,G3,P09,02/17/21,7994,177,1000
SP13,G3,P21,02/17/21,6363,87,455
SP20,G4,P22,02/17/21,3262,185,172
SP05,G5,P07,02/17/21,2793,93,127
SP17,G1,P16,02/18/21,8491,338,340
SP02,G5,P17,02/18/21,13685,39,571
SP21,G3,P14,02/18/21,770,137,52
SP25,G3,P02,02/18/21,8631,399,1079
SP22,G4,P12,02/18/21,4536,120,267
SP17,G6,P08,02/18/21,14497,21,605
SP17,G5,P21,02/18/21,7672,112,452
SP03,G5,P08,02/18/21,10878,329,573
SP02,G5,P02,02/18/21,12572,94,1397
SP19,G5,P02,02/18/21,1575,90,105
SP02,G3,P18,02/18/21,5453,260,166
SP19,G4,P18,02/18/21,4802,84,155
SP16,G1,P06,02/19/21,7651,325,426
SP18,G1,P09,02/19/21,2079,527,260
SP02,G4,P10,02/19/21,2100,62,81
SP25,G5,P20,02/19/21,5278,242,406
SP01,G2,P10,02/19/21,4249,19,164
SP12,G2,P05,02/19/21,3976,9,210
SP20,G2,P11,02/19/21,6951,183,218
SP25,G6,P10,02/19/21,616,161,25
SP09,G6,P13,02/19/21,5439,115,287
SP10,G1,P02,02/19/21,63,206,7
SP10,G3,P15,02/19/21,1533,115,110
SP20,G2,P19,02/19/21,3535,337,322
SP13,G3,P10,02/19/21,2429,4,111
SP03,G1,P04,02/19/21,7119,144,356
SP02,G4,P07,02/19/21,3521,304,118
SP08,G2,P11,02/19/21,3745,177,118
SP16,G5,P14,02/19/21,4816,100,301
SP02,G6,P15,02/19/21,1736,72,193
SP17,G5,P19,02/19/21,1099,139,92
SP14,G6,P11,02/19/21,6692,165,231
SP02,G5,P15,02/22/21,364,177,31
SP08,G3,P13,02/22/21,10927,202,476
SP12,G4,P13,02/22/21,11410,103,476
SP24,G1,P16,02/22/21,2443,337,82
SP14,G3,P14,02/22/21,329,257,26
SP04,G4,P07,02/22/21,3066,144,128
SP19,G4,P15,02/22/21,567,243,38
SP14,G4,P20,02/22/21,14721,257,1052
SP09,G4,P21,02/22/21,6986,11,350
SP06,G2,P13,02/22/21,14112,158,784
SP08,G6,P20,02/22/21,1771,605,137
SP15,G5,P22,02/22/21,5082,164,231
SP12,G3,P03,02/22/21,1827,48,102
SP18,G1,P07,02/22/21,182,85,7
SP08,G4,P21,02/22/21,5369,136,269
SP06,G2,P07,02/22/21,6034,169,275
SP09,G3,P05,02/22/21,13209,204,881
SP12,G5,P17,02/22/21,847,263,30
SP22,G3,P02,02/22/21,1015,66,64
SP14,G3,P02,02/23/21,16247,215,2031
SP21,G3,P15,02/23/21,2422,41,303
SP10,G3,P22,02/23/21,3997,333,174
SP24,G2,P03,02/23/21,7182,125,479
SP21,G1,P05,02/23/21,1246,163,70
SP24,G6,P06,02/23/21,553,50,27
SP23,G2,P12,02/23/21,2681,206,207
SP20,G5,P15,02/23/21,2800,78,234
SP23,G6,P04,02/23/21,4851,160,304
SP05,G3,P17,02/23/21,168,3,6
SP11,G5,P12,02/23/21,315,5,21
SP04,G3,P06,02/23/21,11851,58,741
SP14,G4,P07,02/23/21,3220,261,147
SP05,G6,P19,02/23/21,11935,307,1194
SP03,G3,P22,02/23/21,12404,186,478
SP22,G5,P12,02/24/21,1519,132,90
SP22,G1,P17,02/24/21,10934,182,476
SP25,G6,P22,02/24/21,3346,179,129
SP24,G3,P10,02/24/21,8351,36,398
SP12,G6,P14,02/24/21,11718,76,733
SP17,G3,P10,02/24/21,2681,115,117
SP22,G1,P02,02/24/21,6188,292,563
SP11,G5,P08,02/24/21,10941,182,521
SP11,G3,P01,02/24/21,3647,220,141
SP23,G3,P22,02/25/21,2436,130,122
SP11,G3,P17,02/25/21,896,346,41
SP04,G2,P17,02/25/21,3808,17,174
SP04,G3,P05,02/25/21,10920,278,683
SP13,G4,P12,02/25/21,4186,75,299
SP24,G3,P13,02/25/21,6797,72,309
SP24,G5,P10,02/25/21,4319,56,155
SP16,G3,P20,02/25/21,1673,99,105
SP20,G4,P03,02/25/21,735,84,35
SP20,G5,P11,02/25/21,2632,39,106
SP04,G4,P09,02/25/21,2030,68,170
SP03,G2,P18,02/25/21,1169,265,47
SP09,G4,P05,02/25/21,3703,54,206
SP01,G6,P14,02/25/21,805,48,54
SP23,G6,P20,02/25/21,406,260,21
SP20,G5,P09,02/25/21,3591,73,360
SP20,G6,P14,02/25/21,5551,210,463
SP24,G5,P14,02/25/21,3605,347,258
SP09,G3,P03,02/25/21,6356,38,374
SP24,G5,P19,02/25/21,602,238,41
SP23,G1,P14,02/26/21,7042,142,470
SP22,G5,P03,02/26/21,2968,215,142
SP10,G1,P22,02/26/21,294,80,17
SP05,G4,P11,02/26/21,6363,68,213
SP09,G2,P12,02/26/21,280,220,18
SP11,G3,P21,02/26/21,406,22,29
SP18,G4,P07,02/26/21,4144,374,139
SP08,G4,P01,02/26/21,5341,179,173
SP17,G5,P12,02/26/21,2947,103,197
SP02,G4,P19,02/26/21,12026,166,926
SP10,G4,P20,02/26/21,3983,237,307
SP04,G1,P14,02/26/21,1792,283,163
SP01,G6,P01,02/26/21,1526,150,67
SP20,G2,P16,02/26/21,5313,70,190
SP08,G6,P11,02/26/21,7728,48,242
SP16,G3,P13,02/26/21,413,414,22
SP21,G1,P14,02/26/21,4431,13,493
SP03,G2,P12,02/26/21,1036,240,58
SP21,G2,P09,02/26/21,217,147,25
SP15,G1,P19,02/26/21,7616,16,693
SP12,G6,P16,02/26/21,11900,256,518
SP25,G4,P19,02/26/21,10437,350,1044
SP18,G1,P12,03/01/21,5691,216,335
